IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.156.25,443,443,true,FRA,Europe,Frankfurt,164,5.44
34.65.140.217,443,443,true,FRA,Europe,Frankfurt,178,5.41
34.65.164.20,443,443,true,AMS,Europe,Amsterdam,175,5.30
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,171,5.21
34.116.156.250,443,443,true,FRA,Europe,Frankfurt,207,5.19
34.65.116.104,443,443,true,FRA,Europe,Frankfurt,176,5.18
35.243.129.153,443,443,true,FRA,Europe,Frankfurt,218,5.16
34.154.85.251,443,443,true,FRA,Europe,Frankfurt,175,5.14
34.118.48.35,443,443,true,FRA,Europe,Frankfurt,217,5.13
34.116.140.3,443,443,true,FRA,Europe,Frankfurt,196,5.12
34.118.91.168,443,443,true,EWR,North America,Newark,191,5.10
34.65.226.188,443,443,true,FRA,Europe,Frankfurt,179,5.05
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,169,5.04
34.154.67.215,443,443,true,FRA,Europe,Frankfurt,174,5.04
34.116.168.27,443,443,true,FRA,Europe,Frankfurt,270,4.92
34.65.213.121,443,443,true,FRA,Europe,Frankfurt,160,4.92
34.118.46.39,443,443,true,FRA,Europe,Frankfurt,186,4.89
34.118.99.186,443,443,true,FRA,Europe,Frankfurt,186,4.83
34.116.171.197,443,443,true,FRA,Europe,Frankfurt,182,4.76
34.118.57.46,443,443,true,CDG,Europe,Paris,193,4.76
34.116.187.88,443,443,true,FRA,Europe,Frankfurt,190,4.72
34.65.243.164,443,443,true,EWR,North America,Newark,221,4.71
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,207,4.61
34.65.27.228,443,443,true,FRA,Europe,Frankfurt,160,4.59
34.65.164.20,443,443,true,CDG,Europe,Paris,169,4.54
34.65.252.4,443,443,true,FRA,Europe,Frankfurt,194,4.52
34.116.147.75,443,443,true,FRA,Europe,Frankfurt,201,4.51
34.65.202.220,443,443,true,FRA,Europe,Frankfurt,179,4.42
